Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
01/01/2019,11:54 PM,16,6,65%,SW,7mph,0mph,29.00in,0.0in,Cloudy,1:00 AM
02/01/2019,12:54 AM,17,7,65%,SW,8mph,0mph,28.98in,0.0in,Cloudy,###############################################################################################################################################################################################################################################################
02/01/2019,1:54 AM,18,9,68%,SW,8mph,0mph,28.97in,0.0in,Cloudy,1:00 AM
02/01/2019,2:54 AM,19,10,68%,SW,10mph,0mph,28.95in,0.0in,Cloudy,1:00 AM
02/01/2019,3:54 AM,19,9,65%,SW,9mph,0mph,28.92in,0.0in,Cloudy,1:00 AM
02/01/2019,4:54 AM,19,9,65%,SW,9mph,0mph,28.89in,0.0in,Cloudy,1:00 AM
02/01/2019,5:54 AM,17,9,71%,SSW,12mph,0mph,28.87in,0.0in,air,1:00 AM
02/01/2019,6:54 AM,17,8,68%,SSW,10mph,0mph,28.88in,0.0in,air,1:00 AM
02/01/2019,7:54 AM,17,8,68%,SSW,12mph,0mph,28.88in,0.0in,air,1:00 AM
02/01/2019,8:54 AM,18,9,68%,SSW,12mph,0mph,28.88in,0.0in,air,1:00 AM
02/01/2019,9:54 AM,21,10,63%,WSW,17mph,35mph,28.88in,0.0in,air,1:00 AM
02/01/2019,10:54 AM,23,10,58%,WSW,14mph,0mph,28.84in,0.0in,air,1:00 AM
02/01/2019,11:54 AM,27,12,53%,SW,13mph,0mph,28.81in,0.0in,air,1:00 AM
02/01/2019,12:54 PM,31,13,47%,WSW,9mph,0mph,28.78in,0.0in,air,1:00 AM
02/01/2019,1:54 PM,33,15,48%,WSW,13mph,0mph,28.78in,0.0in,air,1:00 AM
02/01/2019,2:54 PM,34,16,48%,WSW,14mph,0mph,28.77in,0.0in,air,1:00 AM
02/01/2019,3:54 PM,35,18,50%,SW,12mph,0mph,28.79in,0.0in,air,1:00 AM
02/01/2019,4:54 PM,34,18,52%,SW,9mph,0mph,28.78in,0.0in,air,1:00 AM
02/01/2019,5:54 PM,27,17,66%,S,7mph,0mph,28.78in,0.0in,air,1:00 AM
02/01/2019,6:54 PM,26,17,69%,SSW,5mph,0mph,28.80in,0.0in,air,1:00 AM
02/01/2019,7:54 PM,22,16,78%,S,7mph,0mph,28.81in,0.0in,air,1:00 AM
02/01/2019,8:54 PM,27,18,69%,SSW,5mph,0mph,28.80in,0.0in,air,1:00 AM
02/01/2019,9:54 PM,25,18,75%,S,3mph,0mph,28.79in,0.0in,air,1:00 AM
02/01/2019,10:54 PM,25,19,78%,SSW,5mph,0mph,28.78in,0.0in,Cloudy,1:00 AM
02/01/2019,11:54 PM,25,18,75%,SW,6mph,0mph,28.76in,0.0in,Cloudy,1:00 AM
03/01/2019,12:54 AM,22,17,82%,SSW,3mph,0mph,28.77in,0.0in,Cloudy,###############################################################################################################################################################################################################################################################
03/01/2019,1:54 AM,18,14,84%,SSW,5mph,0mph,28.77in,0.0in,Cloudy,1:00 AM
03/01/2019,2:54 AM,20,16,85%,S,5mph,0mph,28.78in,0.0in,Cloudy,1:00 AM
03/01/2019,3:54 AM,20,15,81%,S,5mph,0mph,28.77in,0.0in,Cloudy,1:00 AM
03/01/2019,4:54 AM,19,15,85%,S,7mph,0mph,28.75in,0.0in,Cloudy,1:00 AM
03/01/2019,5:54 AM,20,15,81%,S,3mph,0mph,28.74in,0.0in,Cloudy,1:00 AM
03/01/2019,6:54 AM,18,15,88%,S,5mph,0mph,28.74in,0.0in,Cloudy,1:00 AM
03/01/2019,7:54 AM,25,18,75%,W,5mph,0mph,28.73in,0.0in,Cloudy,1:00 AM
03/01/2019,8:54 AM,26,20,78%,S,3mph,0mph,28.74in,0.0in,Cloudy,1:00 AM
03/01/2019,9:54 AM,32,22,66%,SW,6mph,0mph,28.75in,0.0in,air,1:00 AM
03/01/2019,10:54 AM,39,23,53%,WSW,5mph,0mph,28.75in,0.0in,air,1:00 AM
03/01/2019,11:54 AM,47,24,41%,WSW,12mph,0mph,28.72in,0.0in,air,1:00 AM
03/01/2019,12:54 PM,50,26,39%,SW,14mph,0mph,28.69in,0.0in,air,1:00 AM
03/01/2019,1:54 PM,51,26,38%,SW,15mph,0mph,28.66in,0.0in,air,1:00 AM
03/01/2019,2:54 PM,52,25,35%,WSW,10mph,0mph,28.66in,0.0in,air,1:00 AM
03/01/2019,3:54 PM,52,25,35%,W,6mph,0mph,28.64in,0.0in,air,1:00 AM
03/01/2019,4:54 PM,46,28,50%,SSW,8mph,0mph,28.66in,0.0in,air,1:00 AM
03/01/2019,5:54 PM,35,25,67%,SSW,5mph,0mph,28.67in,0.0in,air,1:00 AM
03/01/2019,6:54 PM,40,26,58%,SW,6mph,0mph,28.68in,0.0in,air,1:00 AM
03/01/2019,7:54 PM,35,24,64%,SSW,7mph,0mph,28.68in,0.0in,air,1:00 AM
03/01/2019,8:54 PM,38,26,62%,W,6mph,0mph,28.67in,0.0in,air,1:00 AM
03/01/2019,9:54 PM,34,25,70%,S,5mph,0mph,28.67in,0.0in,air,1:00 AM
03/01/2019,10:54 PM,31,24,76%,SSW,5mph,0mph,28.65in,0.0in,air,1:00 AM
03/01/2019,11:54 PM,32,25,75%,WSW,5mph,0mph,28.64in,0.0in,air,1:00 AM
04/01/2019,12:54 AM,27,23,85%,S,7mph,0mph,28.62in,0.0in,Cloudy,###############################################################################################################################################################################################################################################################
04/01/2019,1:54 AM,25,21,85%,S,7mph,0mph,28.61in,0.0in,Cloudy,1:00 AM
04/01/2019,2:54 AM,29,22,75%,CALM,0mph,0mph,28.61in,0.0in,Cloudy,1:00 AM
04/01/2019,3:54 AM,24,21,88%,CALM,0mph,0mph,28.59in,0.0in,Cloudy,1:00 AM
04/01/2019,4:54 AM,26,21,81%,SW,5mph,0mph,28.59in,0.0in,Cloudy,1:00 AM
04/01/2019,5:54 AM,25,21,85%,CALM,0mph,0mph,28.58in,0.0in,Cloudy,1:00 AM
04/01/2019,6:54 AM,24,21,88%,CALM,0mph,0mph,28.59in,0.0in,Cloudy,1:00 AM
04/01/2019,7:54 AM,24,21,88%,CALM,0mph,0mph,28.59in,0.0in,Cloudy,1:00 AM
04/01/2019,8:54 AM,28,24,85%,CALM,0mph,0mph,28.61in,0.0in,Cloudy,1:00 AM
04/01/2019,9:54 AM,36,29,76%,CALM,0mph,0mph,28.62in,0.0in,air,1:00 AM
04/01/2019,10:54 AM,42,30,62%,CALM,0mph,0mph,28.63in,0.0in,air,1:00 AM
04/01/2019,11:54 AM,47,31,54%,CALM,0mph,0mph,28.60in,0.0in,air,1:00 AM
04/01/2019,12:54 PM,51,33,50%,SSW,3mph,0mph,28.58in,0.0in,air,1:00 AM
04/01/2019,1:54 PM,56,32,40%,WNW,10mph,0mph,28.57in,0.0in,air,1:00 AM
04/01/2019,2:54 PM,56,34,44%,WNW,7mph,0mph,28.57in,0.0in,air,1:00 AM
04/01/2019,3:54 PM,54,33,45%,NW,7mph,0mph,28.59in,0.0in,air,1:00 AM
04/01/2019,4:54 PM,51,33,50%,WNW,5mph,0mph,28.59in,0.0in,air,1:00 AM
04/01/2019,5:54 PM,42,33,70%,W,3mph,0mph,28.60in,0.0in,air,1:00 AM
04/01/2019,6:54 PM,36,32,86%,CALM,0mph,0mph,28.61in,0.0in,air,1:00 AM
04/01/2019,7:54 PM,34,29,82%,CALM,0mph,0mph,28.62in,0.0in,air,1:00 AM
04/01/2019,8:54 PM,32,29,88%,CALM,0mph,0mph,28.65in,0.0in,air,1:00 AM
04/01/2019,9:54 PM,29,27,92%,CALM,0mph,0mph,28.65in,0.0in,air,1:00 AM
04/01/2019,10:54 PM,30,26,85%,SW,5mph,0mph,28.65in,0.0in,air,1:00 AM
04/01/2019,11:54 PM,30,28,92%,SW,5mph,0mph,28.65in,0.0in,air,1:00 AM
05/01/2019,12:54 AM,30,26,85%,CALM,0mph,0mph,28.65in,0.0in,Cloudy,###############################################################################################################################################################################################################################################################
05/01/2019,1:54 AM,29,26,89%,CALM,0mph,0mph,28.67in,0.0in,Cloudy,1:00 AM
05/01/2019,2:54 AM,28,25,88%,CALM,0mph,0mph,28.67in,0.0in,Cloudy,1:00 AM
05/01/2019,3:54 AM,28,25,88%,SW,3mph,0mph,28.67in,0.0in,air,1:00 AM
05/01/2019,4:54 AM,28,25,88%,S,3mph,0mph,28.67in,0.0in,Cloudy,1:00 AM
05/01/2019,5:54 AM,26,24,92%,S,5mph,0mph,28.67in,0.0in,Cloudy,1:00 AM
05/01/2019,6:54 AM,28,26,92%,SSE,5mph,0mph,28.68in,0.0in,Cloudy,1:00 AM
05/01/2019,7:54 AM,30,27,88%,SSE,6mph,0mph,28.70in,0.0in,Cloudy,1:00 AM
05/01/2019,8:54 AM,32,29,88%,SSE,5mph,0mph,28.71in,0.0in,Cloudy,1:00 AM
05/01/2019,9:54 AM,40,33,77%,CALM,0mph,0mph,28.72in,0.0in,Cloudy,1:00 AM
05/01/2019,10:54 AM,45,35,68%,CALM,0mph,0mph,28.73in,0.0in,Cloudy,1:00 AM
05/01/2019,11:54 AM,51,35,54%,SSE,3mph,0mph,28.72in,0.0in,air,1:00 AM
05/01/2019,12:54 PM,54,35,49%,SSW,5mph,0mph,28.71in,0.0in,Cloudy,1:00 AM
05/01/2019,1:54 PM,57,35,44%,WSW,6mph,0mph,28.71in,0.0in,air,1:00 AM
05/01/2019,2:54 PM,59,36,42%,WSW,6mph,0mph,28.71in,0.0in,air,1:00 AM
05/01/2019,3:54 PM,60,37,42%,CALM,0mph,0mph,28.71in,0.0in,air,1:00 AM
05/01/2019,4:54 PM,49,36,61%,NNE,10mph,0mph,28.75in,0.0in,air,1:00 AM
05/01/2019,5:54 PM,40,34,79%,CALM,0mph,0mph,28.75in,0.0in,air,1:00 AM
05/01/2019,6:54 PM,37,33,86%,CALM,0mph,0mph,28.76in,0.0in,Cloudy,1:00 AM
05/01/2019,7:54 PM,34,31,89%,N,8mph,0mph,28.77in,0.0in,Cloudy,1:00 AM
05/01/2019,8:54 PM,34,31,89%,NNW,7mph,0mph,28.77in,0.0in,air,1:00 AM
05/01/2019,9:54 PM,32,29,88%,CALM,0mph,0mph,28.77in,0.0in,air,1:00 AM
05/01/2019,10:54 PM,33,30,89%,NNW,5mph,0mph,28.77in,0.0in,air,1:00 AM
05/01/2019,11:54 PM,33,31,92%,NNW,5mph,0mph,28.78in,0.0in,air,1:00 AM
06/01/2019,12:54 AM,34,31,89%,N,5mph,0mph,28.76in,0.0in,air,###############################################################################################################################################################################################################################################################
06/01/2019,1:54 AM,33,31,92%,N,6mph,0mph,28.77in,0.0in,air,1:00 AM
06/01/2019,2:54 AM,35,32,89%,ENE,5mph,0mph,28.76in,0.0in,air,1:00 AM
06/01/2019,3:54 AM,36,32,86%,ENE,7mph,0mph,28.72in,0.0in,air,1:00 AM
06/01/2019,4:54 AM,38,34,86%,E,8mph,0mph,28.69in,0.0in,air,1:00 AM
06/01/2019,5:54 AM,39,34,82%,ESE,7mph,0mph,28.67in,0.0in,Cloudy,1:00 AM
06/01/2019,6:54 AM,41,35,79%,ESE,10mph,0mph,28.63in,0.0in,air,1:00 AM
06/01/2019,7:54 AM,40,35,83%,ESE,15mph,22mph,28.59in,0.0in,air,1:00 AM
06/01/2019,8:54 AM,42,35,76%,ESE,12mph,21mph,28.58in,0.0in,Cloudy,1:00 AM
06/01/2019,9:54 AM,43,36,76%,ESE,16mph,24mph,28.58in,0.0in,air,1:00 AM
06/01/2019,10:54 AM,44,36,73%,ESE,14mph,0mph,28.54in,0.0in,air,1:00 AM
06/01/2019,11:54 AM,45,37,74%,SE,15mph,0mph,28.47in,0.0in,air,1:00 AM
06/01/2019,12:54 PM,50,38,63%,SE,18mph,26mph,28.42in,0.0in,air,1:00 AM
06/01/2019,1:54 PM,55,39,55%,SSE,15mph,0mph,28.38in,0.0in,Cloudy,1:00 AM
06/01/2019,2:54 PM,54,38,55%,S,17mph,29mph,28.35in,0.0in,air,1:00 AM
06/01/2019,3:54 PM,53,39,59%,SSE,14mph,0mph,28.35in,0.0in,Cloudy,1:00 AM
06/01/2019,4:54 PM,49,39,69%,S,10mph,0mph,28.34in,0.0in,Cloudy,1:00 AM
06/01/2019,5:54 PM,48,38,68%,S,12mph,0mph,28.35in,0.0in,air,1:00 AM
06/01/2019,6:54 PM,46,38,73%,S,9mph,0mph,28.35in,0.0in,air,1:00 AM
06/01/2019,7:54 PM,50,39,66%,S,14mph,0mph,28.34in,0.0in,air,1:00 AM
06/01/2019,8:54 PM,48,39,71%,WSW,7mph,0mph,28.35in,0.0in,air,1:00 AM
06/01/2019,9:54 PM,44,37,76%,S,3mph,0mph,28.33in,0.0in,Cloudy,1:00 AM
06/01/2019,10:54 PM,45,38,76%,W,6mph,0mph,28.36in,0.0in,Cloudy,1:00 AM
06/01/2019,11:54 PM,44,38,79%,W,3mph,0mph,28.34in,0.0in,Cloudy,1:00 AM
07/01/2019,12:54 AM,43,37,80%,W,3mph,0mph,28.32in,0.0in,Mostly Cloudy,###############################################################################################################################################################################################################################################################
07/01/2019,1:54 AM,42,36,79%,W,6mph,0mph,28.34in,0.0in,Cloudy,1:00 AM
07/01/2019,2:54 AM,40,35,83%,SSW,8mph,0mph,28.34in,0.0in,Cloudy,1:00 AM
07/01/2019,3:54 AM,41,36,82%,SW,5mph,0mph,28.32in,0.0in,Cloudy,1:00 AM
07/01/2019,4:54 AM,40,36,86%,SSW,5mph,0mph,28.30in,0.0in,Cloudy,1:00 AM
07/01/2019,5:54 AM,43,35,74%,WSW,8mph,0mph,28.37in,0.0in,Cloudy,1:00 AM
07/01/2019,6:54 AM,41,33,73%,ESE,3mph,0mph,28.37in,0.0in,Cloudy,1:00 AM
07/01/2019,7:54 AM,42,33,70%,W,7mph,0mph,28.42in,0.0in,Partly Cloudy,1:00 AM
07/01/2019,8:54 AM,44,33,65%,WNW,7mph,0mph,28.46in,0.0in,air,1:00 AM
07/01/2019,9:54 AM,47,32,56%,WNW,13mph,0mph,28.48in,0.0in,air,1:00 AM
07/01/2019,10:54 AM,50,32,50%,NW,15mph,22mph,28.49in,0.0in,air,1:00 AM
07/01/2019,11:54 AM,53,32,45%,NW,10mph,0mph,28.48in,0.0in,air,1:00 AM
07/01/2019,12:54 PM,55,31,40%,WNW,13mph,0mph,28.48in,0.0in,air,1:00 AM
07/01/2019,1:54 PM,55,32,42%,W,13mph,0mph,28.49in,0.0in,air,1:00 AM
07/01/2019,2:54 PM,54,33,45%,W,15mph,0mph,28.50in,0.0in,air,1:00 AM
07/01/2019,3:54 PM,52,35,53%,W,10mph,0mph,28.53in,0.0in,air,1:00 AM
07/01/2019,4:54 PM,50,35,57%,SW,6mph,0mph,28.53in,0.0in,air,1:00 AM
07/01/2019,5:54 PM,47,35,63%,SSW,9mph,0mph,28.55in,0.0in,air,1:00 AM
07/01/2019,6:54 PM,45,34,65%,SW,12mph,0mph,28.56in,0.0in,air,1:00 AM
07/01/2019,7:54 PM,42,32,67%,SW,12mph,0mph,28.56in,0.0in,air,1:00 AM
07/01/2019,8:54 PM,40,30,68%,SW,8mph,0mph,28.56in,0.0in,air,1:00 AM
07/01/2019,9:54 PM,39,29,67%,SW,9mph,0mph,28.54in,0.0in,air,1:00 AM
07/01/2019,10:54 PM,43,27,53%,SW,18mph,0mph,28.54in,0.0in,Partly Cloudy,1:00 AM
07/01/2019,11:54 PM,46,27,47%,W,23mph,0mph,28.54in,0.0in,air / Windy,1:00 AM
08/01/2019,12:54 AM,44,29,55%,W,16mph,28mph,28.60in,0.0in,air,###############################################################################################################################################################################################################################################################
08/01/2019,1:54 AM,44,29,55%,WNW,28mph,41mph,28.67in,0.0in,air / Windy,1:00 AM
08/01/2019,2:54 AM,42,31,65%,WNW,20mph,35mph,28.74in,0.0in,air,1:00 AM
08/01/2019,3:54 AM,41,32,70%,NW,26mph,35mph,28.78in,0.0in,air / Windy,1:00 AM
08/01/2019,4:54 AM,40,31,70%,NNW,15mph,33mph,28.83in,0.0in,Mostly Cloudy,1:00 AM
08/01/2019,5:54 AM,38,30,73%,NW,14mph,0mph,28.88in,0.0in,air,1:00 AM
08/01/2019,6:54 AM,38,30,73%,NW,14mph,0mph,28.90in,0.0in,air,1:00 AM
08/01/2019,7:54 AM,36,29,76%,WNW,9mph,0mph,28.94in,0.0in,air,1:00 AM
08/01/2019,8:54 AM,38,29,70%,NW,9mph,0mph,28.96in,0.0in,air,1:00 AM
08/01/2019,9:54 AM,42,29,60%,WNW,13mph,24mph,29.00in,0.0in,air,1:00 AM
08/01/2019,10:54 AM,45,27,49%,WNW,18mph,26mph,29.02in,0.0in,air,1:00 AM
08/01/2019,11:54 AM,46,24,42%,NW,20mph,0mph,29.02in,0.0in,air,1:00 AM
08/01/2019,12:54 PM,47,23,39%,WNW,18mph,31mph,29.02in,0.0in,air,1:00 AM
08/01/2019,1:54 PM,47,22,37%,WNW,24mph,33mph,29.03in,0.0in,air / Windy,1:00 AM
08/01/2019,2:54 PM,47,21,36%,WNW,26mph,39mph,29.06in,0.0in,air / Windy,1:00 AM
08/01/2019,3:54 PM,47,21,36%,WNW,23mph,32mph,29.09in,0.0in,air / Windy,1:00 AM
08/01/2019,4:54 PM,44,21,40%,WNW,15mph,0mph,29.11in,0.0in,air,1:00 AM
08/01/2019,5:54 PM,39,22,50%,NW,7mph,0mph,29.13in,0.0in,air,1:00 AM
08/01/2019,6:54 PM,37,23,57%,WNW,7mph,0mph,29.14in,0.0in,air,1:00 AM
08/01/2019,7:54 PM,35,22,59%,WNW,6mph,0mph,29.15in,0.0in,air,1:00 AM
08/01/2019,8:54 PM,33,22,64%,NW,3mph,0mph,29.16in,0.0in,air,1:00 AM
08/01/2019,9:54 PM,33,21,61%,WNW,7mph,0mph,29.16in,0.0in,air,1:00 AM
08/01/2019,10:54 PM,33,21,61%,NW,10mph,0mph,29.17in,0.0in,air,1:00 AM
08/01/2019,11:54 PM,32,20,61%,NW,9mph,0mph,29.18in,0.0in,air,1:00 AM
09/01/2019,12:54 AM,31,20,64%,NW,9mph,0mph,29.19in,0.0in,air,###############################################################################################################################################################################################################################################################
09/01/2019,1:54 AM,30,19,64%,NNW,12mph,0mph,29.20in,0.0in,air,1:00 AM
09/01/2019,2:54 AM,30,17,59%,NW,12mph,0mph,29.23in,0.0in,Cloudy,1:00 AM
09/01/2019,3:54 AM,28,15,58%,WNW,7mph,0mph,29.22in,0.0in,Cloudy,1:00 AM
09/01/2019,4:54 AM,27,16,63%,WNW,7mph,0mph,29.22in,0.0in,Cloudy,1:00 AM
09/01/2019,5:54 AM,27,14,58%,NNW,13mph,0mph,29.24in,0.0in,Cloudy,1:00 AM
09/01/2019,6:54 AM,25,14,63%,NW,8mph,0mph,29.25in,0.0in,air,1:00 AM
09/01/2019,7:54 AM,24,13,62%,NNW,9mph,0mph,29.25in,0.0in,Cloudy,1:00 AM
09/01/2019,8:54 AM,26,15,63%,WNW,9mph,0mph,29.28in,0.0in,Cloudy,1:00 AM
09/01/2019,9:54 AM,29,14,54%,NNW,7mph,0mph,29.29in,0.0in,Cloudy,1:00 AM
09/01/2019,10:54 AM,30,11,45%,N,14mph,0mph,29.29in,0.0in,air,1:00 AM
09/01/2019,11:54 AM,32,11,42%,N,10mph,0mph,29.27in,0.0in,air,1:00 AM
09/01/2019,12:54 PM,34,12,40%,NNW,8mph,0mph,29.24in,0.0in,air,1:00 AM
09/01/2019,1:54 PM,34,11,38%,NW,6mph,0mph,29.22in,0.0in,air,1:00 AM
09/01/2019,2:54 PM,35,12,39%,N,5mph,0mph,29.21in,0.0in,air,1:00 AM
09/01/2019,3:54 PM,34,12,40%,N,7mph,0mph,29.19in,0.0in,air,1:00 AM
09/01/2019,4:54 PM,32,14,48%,NE,6mph,0mph,29.19in,0.0in,air,1:00 AM
09/01/2019,5:54 PM,29,15,56%,NE,6mph,0mph,29.17in,0.0in,air,1:00 AM
09/01/2019,6:54 PM,26,16,66%,E,8mph,0mph,29.16in,0.0in,air,1:00 AM
09/01/2019,7:54 PM,27,15,61%,ESE,3mph,0mph,29.16in,0.0in,air,1:00 AM
09/01/2019,8:54 PM,26,15,63%,CALM,0mph,0mph,29.16in,0.0in,Cloudy,1:00 AM
09/01/2019,9:54 PM,22,15,75%,E,5mph,0mph,29.15in,0.0in,Cloudy,1:00 AM
09/01/2019,10:54 PM,25,16,69%,CALM,0mph,0mph,29.14in,0.0in,Cloudy,1:00 AM
09/01/2019,11:54 PM,24,16,71%,CALM,0mph,0mph,29.12in,0.0in,air,1:00 AM
10/01/2019,12:54 AM,20,15,81%,NNE,3mph,0mph,29.12in,0.0in,Cloudy,###############################################################################################################################################################################################################################################################
10/01/2019,1:54 AM,23,15,72%,SE,5mph,0mph,29.11in,0.0in,Cloudy,1:00 AM
10/01/2019,2:54 AM,23,16,74%,ESE,5mph,0mph,29.10in,0.0in,Cloudy,1:00 AM
10/01/2019,3:54 AM,24,15,69%,ESE,8mph,0mph,29.07in,0.0in,Cloudy,1:00 AM
10/01/2019,4:54 AM,22,15,75%,SE,6mph,0mph,29.05in,0.0in,Cloudy,1:00 AM
10/01/2019,5:54 AM,23,15,72%,SE,8mph,0mph,29.04in,0.0in,Cloudy,1:00 AM
10/01/2019,6:54 AM,23,15,72%,SE,10mph,0mph,29.03in,0.0in,Cloudy,1:00 AM
10/01/2019,7:54 AM,23,15,72%,SE,7mph,0mph,29.02in,0.0in,air,1:00 AM
10/01/2019,8:54 AM,25,16,69%,SE,9mph,0mph,29.03in,0.0in,air,1:00 AM
10/01/2019,9:54 AM,29,18,64%,SE,10mph,0mph,29.04in,0.0in,Cloudy,1:00 AM
10/01/2019,10:54 AM,33,17,52%,SSE,18mph,0mph,29.01in,0.0in,air,1:00 AM
10/01/2019,11:54 AM,35,19,52%,SSE,14mph,0mph,28.95in,0.0in,Cloudy,1:00 AM
10/01/2019,12:54 PM,39,21,49%,SSE,15mph,0mph,28.91in,0.0in,air,1:00 AM
10/01/2019,1:54 PM,43,22,43%,SSE,14mph,24mph,28.90in,0.0in,air,1:00 AM
10/01/2019,2:54 PM,44,22,42%,SSE,14mph,0mph,28.89in,0.0in,air,1:00 AM
10/01/2019,3:54 PM,42,23,47%,SE,12mph,0mph,28.88in,0.0in,air,1:00 AM
10/01/2019,4:54 PM,39,23,53%,SE,10mph,0mph,28.87in,0.0in,air,1:00 AM
10/01/2019,5:54 PM,38,23,55%,SE,12mph,0mph,28.87in,0.0in,Cloudy,1:00 AM
10/01/2019,6:54 PM,36,22,57%,SE,14mph,0mph,28.88in,0.0in,Cloudy,1:00 AM
10/01/2019,7:54 PM,34,22,61%,SSE,12mph,0mph,28.86in,0.0in,Cloudy,1:00 AM
10/01/2019,8:54 PM,33,22,64%,SSE,10mph,0mph,28.85in,0.0in,Cloudy,1:00 AM
10/01/2019,9:54 PM,31,22,69%,S,8mph,0mph,28.86in,0.0in,Cloudy,1:00 AM
10/01/2019,10:54 PM,28,21,75%,S,6mph,0mph,28.86in,0.0in,air,1:00 AM
10/01/2019,11:54 PM,29,21,72%,CALM,0mph,0mph,28.85in,0.0in,Cloudy,1:00 AM
11/01/2019,12:54 AM,27,21,78%,CALM,0mph,0mph,28.85in,0.0in,Cloudy,###############################################################################################################################################################################################################################################################
11/01/2019,1:54 AM,27,22,81%,CALM,0mph,0mph,28.85in,0.0in,Cloudy,1:00 AM
11/01/2019,2:54 AM,27,22,81%,CALM,0mph,0mph,28.85in,0.0in,Cloudy,1:00 AM
11/01/2019,3:54 AM,23,20,88%,N,3mph,0mph,28.83in,0.0in,Cloudy,1:00 AM
11/01/2019,4:54 AM,25,21,85%,N,6mph,0mph,28.84in,0.0in,air,1:00 AM
11/01/2019,5:54 AM,26,22,84%,N,5mph,0mph,28.83in,0.0in,Cloudy,1:00 AM
11/01/2019,6:54 AM,27,23,85%,CALM,0mph,0mph,28.83in,0.0in,Cloudy,1:00 AM
11/01/2019,7:54 AM,28,23,81%,CALM,0mph,0mph,28.82in,0.0in,air,1:00 AM
11/01/2019,8:54 AM,29,24,82%,N,5mph,0mph,28.83in,0.0in,air,1:00 AM
11/01/2019,9:54 AM,30,26,85%,N,6mph,0mph,28.84in,0.0in,air,1:00 AM
11/01/2019,10:54 AM,33,28,82%,NNE,5mph,0mph,28.85in,0.0in,air,1:00 AM
11/01/2019,11:54 AM,35,27,72%,ESE,3mph,0mph,28.83in,0.0in,air,1:00 AM
11/01/2019,12:54 PM,37,27,67%,CALM,0mph,0mph,28.82in,0.0in,Cloudy,1:00 AM
11/01/2019,1:54 PM,37,28,70%,NE,5mph,0mph,28.81in,0.0in,Cloudy,1:00 AM
11/01/2019,2:54 PM,37,28,70%,ENE,6mph,0mph,28.81in,0.0in,Cloudy,1:00 AM
11/01/2019,3:54 PM,38,28,68%,ENE,6mph,0mph,28.82in,0.0in,Cloudy,1:00 AM
11/01/2019,4:54 PM,36,29,76%,NE,7mph,0mph,28.82in,0.0in,Cloudy,1:00 AM
11/01/2019,5:54 PM,35,28,76%,NE,6mph,0mph,28.82in,0.0in,Cloudy,1:00 AM
